Date,Subject,Location,Cabinet,"DG name/Portfolio","Attending from Commission","Other lobbyists"
2015-01-21,"Web Services (cloud facilities) and Marketplace - Platform",Brussels,"Cabinet of Vice-President Andrus Ansip","Digital Single Market","Jasmin Battista (Cabinet member)",
2015-01-29,"Minority languages, Multilingualism, Copyright",Brussels,"Cabinet of Commissioner Tibor Navracsics","Education, Culture, Youth and Sport","Adrienn Kiraly (Cabinet member),Tibor Navracsics (Commissioner)",
2015-01-29,"Digital Single Market",Brussels,"Cabinet of Vice-President Jyrki Katainen","Jobs, Growth, Investment and Competitiveness","Heidi Jern (Cabinet member)",
2015-02-09,"Digital Single Market",Brussels,,"Günther Oettinger","Eric Mamer (Cabinet member)",
2015-03-17,"Digital Single Market","Brussels, Belgium","Cabinet of President Jean-Claude Juncker",President,"Pauline Rouch (Cabinet member)","Spotify,The Walt Disney Company Benelux BVBA"
2015-04-16,DSM,Brussels,,"Günther Oettinger","Markus Schulte (Cabinet member),Michael Hager (Cabinet member)","PwCIL,Liberty Global Corporate B.V.,PwCIL,Liberty Global Corporate B.V."
2015-06-18,"Platforms & NIS",Brussels,"Cabinet of Vice-President Andrus Ansip","Digital Single Market","Kamila Kloc (Cabinet member)",
2015-07-16,"Digital single market and consumer protection online","Brussels, Belgium","Cabinet of Commissioner Věra Jourová","Justice, Consumers and Gender Equality","Eduard Hulicius (Cabinet member),Věra Jourová (Commissioner)",
2015-08-26,DSM,Brussels,,"Günther Oettinger","Eric Mamer (Cabinet member)",
2015-10-01,"Corporate Tax Transparency","Brussels, Belgium","Cabinet of Vice-President Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union","Jan Ceyssens (Cabinet member),Valdis Dombrovskis (Vice-President)","Repsol, S.A.,BUSINESSEUROPE,BUSINESSEUROPE,General Electric Company,General Electric Company,EuropeanIssuers,EuropeanIssuers,Transparency International Liaison Office to the European Union,Transparency International Liaison Office to the European Union,European Association of Tax Law Professors,European Association of Tax Law Professors,European Network on Debt and Development,European Network on Debt and Development,Repsol, S.A."
2015-10-01,"Corporate Tax Transparency","Brussels, Belgium","Cabinet of Commissioner Jonathan Hill","Financial Stability, Financial Services and Capital Markets Union","Jonathan Hill (Commissioner)","BUSINESSEUROPE,General Electric Company,EuropeanIssuers,Transparency International Liaison Office to the European Union,European Association of Tax Law Professors,European Network on Debt and Development,Repsol, S.A."
2015-10-01,"Corporate Tax Transparency","Brussels, Belgium","Cabinet of Commissioner Pierre Moscovici","Economic and Financial Affairs, Taxation and Customs","Pierre Moscovici (Commissioner)","General Electric Company,EuropeanIssuers,Transparency International Liaison Office to the European Union,European Association of Tax Law Professors,European Network on Debt and Development,Repsol, S.A.,BUSINESSEUROPE"
2015-11-05,"Digital Single Market",Brussels,,"Günther Oettinger","Günther Oettinger (Commissioner)",
2016-01-26,drones,"Brussels, Belgium",,"Mobility and Transport","Henrik Hololei (Director-General)",
2016-02-01,"Exchange of views on tax issues","Brussels, Belgium",,"Taxation and Customs Union","Stephen Quest (Director-General)",
2016-02-01,"presentation of the company + discussions on ongoing tax initiatives",Brussels,"Cabinet of Commissioner Pierre Moscovici","Economic and Financial Affairs, Taxation and Customs","Fabien Dell (Cabinet member),Maria Elena Scoppio (Cabinet member)",
2016-02-02,"DSM, platforms and geo-blocking",Brussels,"Cabinet of Vice-President Andrus Ansip","Digital Single Market","Juhan Lepassaar (Cabinet member),Vivian Loonela (Cabinet member)",
2016-02-04,"Data protection, Consumer policy","Brussels, Belgium","Cabinet of Commissioner Věra Jourová","Justice, Consumers and Gender Equality","Eduard Hulicius (Cabinet member),Renate Nikolay (Cabinet member)",
2016-03-09,"price laws on online books",Brussels,,"Günther Oettinger","Kilian Gross (Cabinet member)",
2016-05-20,"Product safety","Brussels, Belgium","Cabinet of Commissioner Věra Jourová","Justice, Consumers and Gender Equality","Eduard Hulicius (Cabinet member)",
2016-06-27,geoblocking,BXL,,"Günther Oettinger","Anna Herold (Cabinet member)",
2016-07-12,"DSM (Telecoms review and upcoming legislation in September)",Brussels,,"Communications Networks, Content and Technology","Roberto Viola (Director-General)",
2016-07-12,Aviation,Brussels,"Cabinet of Commissioner Violeta Bulc",Transport,"Joshua Salsby (Cabinet member)",
2016-07-12,"DSM (Telecoms review and upcoming legislation in September)",Brussels,,"Communications Networks, Content and Technology","Roberto Viola (Director-General)",
2016-09-12,"DSM (telecoms review and upcoming legislation in September)",Brussels,,"Communications Networks, Content and Technology","Roberto Viola (Director-General)",
2016-09-12,"DSM (telecoms review and upcoming legislation in September)",Brussels,,"Communications Networks, Content and Technology","Roberto Viola (Director-General)",
2016-10-04,Geo-blocking,Brussles,"Cabinet of Vice-President Andrus Ansip","Digital Single Market","Kamila Kloc (Cabinet member)",
2016-10-10,Geoblocking,Seattle,,"Günther Oettinger","Günther Oettinger (Commissioner)",
2016-10-13,"E-commerce, free flow of data, VAT",Brussels,"Cabinet of Vice-President Andrus Ansip","Digital Single Market","Andrus Ansip (Vice-President),Kamila Kloc (Cabinet member)",
2017-04-06,"Panel debate at Networking meeting with Czechs and Slovaks in Brussels","Brussels, Belgium","Cabinet of Commissioner Věra Jourová","Justice, Consumers and Gender Equality","Daniel Braun (Cabinet member),Věra Jourová (Commissioner)","CEBRE - Czech Business Representation to the EU in Brussels,Mastercard Europe,CEBRE - Czech Business Representation to the EU in Brussels,Mastercard Europe"
2017-05-19,"Product Safety",BERL,"Cabinet of Commissioner Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs","Rolf Carsten Bermig (Cabinet member)",
