Date,Subject,Location,Cabinet,DG name/Portfolio,Attending from Commission,Other lobbyists
12/9/2014,Energy issues in the Balkans/neighbourhood,Brussels,Cabinet of Vice-President Johannes Hahn,European Neighbourhood Policy & Enlargement Negotiations,Michael Karnitschnig (Cabinet member),
1/20/2015,Presentation of BP and their activities on the EU market,Brussels,Cabinet of Vice-President Maroš Šefčovič,Energy Union,Bernd Biervert (Cabinet member),
2/4/2015,Energy Union,"Brussels, BE",Cabinet of Vice-President Maroš Šefčovič,Energy Union,"Manuel Szapiro (Cabinet member),Maroš Šefčovič (Vice-President),Peter van Kemseke (Cabinet member)","The European House - Ambrosetti,The European House - Ambrosetti,The European House - Ambrosetti"
2/5/2015,Introductory Meeting,Brussels,Cabinet of Commissioner Jonathan Hill,"Financial Stability, Financial Services and Capital Markets Union",Jonathan Hill (Commissioner),
3/20/2015,Energy Union (Security supply),"Brussels, Belgium",Cabinet of Vice-President Miguel Arias Cañete,Climate Action & Energy,"Joachim Balke (Cabinet member),Miguel Arias Cañete (Commissioner)",
3/24/2015,Southern Gas Corridor,"Brussels, Belgium",Cabinet of Vice-President Miguel Arias Cañete,Climate Action & Energy,"Maria Cristina Lobillo Borrero (Cabinet member),Miguel Arias Cañete (Commissioner)",
3/26/2015,Energy outlook,Brussels,Cabinet of Vice-President Jyrki Katainen,"Jobs, Growth, Investment and Competitiveness","Edward Bannerman (Cabinet member),Grzegorz Radziejewski (Cabinet member),Miguel Gil Tertre (Cabinet member)",
4/1/2015,Markets in Financial Instruments Directive/Capital Requirements Directive,Brussels,Cabinet of Vice-President Valdis Dombrovskis,"Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",Lee Foulger (Cabinet member),
6/1/2015,Southern Gas Corridor,Brussels,Cabinet of Vice-President Maroš Šefčovič,Energy Union,Bernd Biervert (Cabinet member),
6/3/2015,Role of private business and carbon pricing in climate action,Brussels,,Climate Action,Jos Delbeke (Director-General),
6/3/2015,Energy Union,Brussles,Cabinet of Vice-President Miguel Arias Cañete,Climate Action & Energy,Pierre Schellekens (Cabinet member),
7/22/2015,EU Environmental Policy,BERL 8th floor,Cabinet of Vice-President Miguel Arias Cañete,Climate Action & Energy,Joachim Balke (Cabinet member),
9/2/2015,International Gas and Oil market,"Brussels, Belgium",Cabinet of Vice-President Miguel Arias Cañete,Climate Action & Energy,"Joachim Balke (Cabinet member),Miguel Arias Cañete (Commissioner)",
9/3/2015,Southern Gas Corridor,Brussels,Cabinet of Vice-President Maroš Šefčovič,Energy Union,Bernd Biervert (Cabinet member),
9/4/2015,gas and oil,"Brussels, Belgium",,Energy,Dominique Ristori (Director-General),"Equinor ASA,TotalEnergies SE,RWE AG,E.ON SE,Repsol, S.A.,Enagás S.A.,Shell Companies,ENGIE"
9/4/2015,Security of supply and Energy diversification,"Brussels, Belgium",Cabinet of Vice-President Miguel Arias Cañete,Climate Action & Energy,"Isaac Valero Ladron (Cabinet member),Joachim Balke (Cabinet member),Maria Cristina Lobillo Borrero (Cabinet member),Miguel Arias Cañete (Commissioner)","RWE AG,RWE AG,E.ON SE,E.ON SE,E.ON SE,Enagás S.A.,Enagás S.A.,Enagás S.A.,E.ON SE,TotalEnergies SE,TotalEnergies SE,TotalEnergies SE,Enagás S.A.,Equinor ASA,TotalEnergies SE,Equinor ASA,Equinor ASA,ENGIE,Equinor ASA,ENGIE,ENGIE,Shell Companies,ENGIE,Shell Companies,RWE AG,Shell Companies,RWE AG,Shell Companies"
10/22/2015,International energy issues,Brussels,Cabinet of Vice-President Johannes Hahn,European Neighbourhood Policy & Enlargement Negotiations,Michael Karnitschnig (Cabinet member),
11/9/2015,Energy infrastructure,BERL 8th floor,Cabinet of Vice-President Miguel Arias Cañete,Climate Action & Energy,Joachim Balke (Cabinet member),
11/10/2015,State of play Southern Gas Corridor,Brussels,Cabinet of Vice-President Maroš Šefčovič,Energy Union,Bernd Biervert (Cabinet member),
