Date,Subject,Location,Cabinet,"DG name/Portfolio","Attending from Commission","Other lobbyists"
2015-03-18,"Energy Union (Security of supply)","Brussels, Belgium","Cabinet of Vice-President Miguel Arias Cañete","Climate Action & Energy","Joachim Balke (Cabinet member),Miguel Arias Cañete (Commissioner)",
2015-05-06,"Decarbonisation of transports","Brussels, BE","Cabinet of Vice-President Maroš Šefčovič","Energy Union","Peter van Kemseke (Cabinet member)",
2015-05-07,"Presentation of company, Energy Union, world Energy market",Berlin,"Cabinet of Vice-President Maroš Šefčovič","Energy Union","Maroš Šefčovič (Vice-President)",
2015-06-05,"ETS / 2030",Brussels,,"Climate Action","Jos Delbeke (Director-General)",
2015-06-30,"Meeting with ExxonMobil","Brussels, Belgium","Cabinet of Commissioner Violeta Bulc",Transport,"Friedrich-Nikolaus von Peter (Cabinet member)",
2015-08-26,"Transport Policy",Brussels,"Cabinet of Commissioner Phil Hogan","Agriculture & Rural Development","Shane Sutherland (Cabinet member)",
2015-10-06,"EU Road transport policy post 2020",Brussels,"Cabinet of Vice-President Miguel Arias Cañete","Climate Action & Energy","Silvia Bartolini (Cabinet member)",
2015-10-21,"Research and Innovation in the scope of Energy Union",Brussels,"Cabinet of Commissioner Carlos Moedas","Research, Science and Innovation","Maria Da Graca Carvalho (Cabinet member)",
2015-12-01,"European gas markets","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)",
2016-01-13,"presentation of the positions of Exxonmobil, in particular on decarbonisation of transport",Brussels,"Cabinet of Vice-President Maroš Šefčovič","Energy Union","Peter van Kemseke (Cabinet member)",
2016-01-14,"AECA Round-Table on “Dealing with Regulatory Burden",Brussels,"Cabinet of First Vice-President Frans Timmermans","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights","Bernardus Smulders (Cabinet member)","FTI Consulting Belgium,British American Tobacco,AT&T, Inc.,Pfizer Inc.,Procter & Gamble,Motion Picture Association EMEA,Deutsche Post DHL Group,Allianz SE,Confederation of Danish Industry,eu travel tech,Indra,Novartis International AG,Eni S.p.A.,European Banking Federation,Fleishman-Hillard,IBM Corporation,Brunswick Group Advisory Limited,Deloitte & Touche S.p.A.,American European Community Association,Eli Lilly and Company,European Salt Producers' Association,DIGITALEUROPE,MSD (Europe), Inc. (Merck Sharp & Dohme),Anheuser-Busch InBev nv/sa,Tobacco Europe AISBL,International Paper,European Aluminium AISBL,Orgalim – Europe's Technology Industries,JT International,Afore Consulting,Conduent Incorporated,ArcelorMittal,Pappas & Associates,EVONIK INDUSTRIES AG,Dow Europe GmbH,Moody's Shared Services UK Ltd."
2016-02-24,"Communication on the decarbonisation of transport","Brussels, Belgium",,"Mobility and Transport","Henrik Hololei (Director-General)",
2016-07-13,"Carbon capture and storage",Brussels,,"Climate Action","Jos Delbeke (Director-General)",
2017-01-26,"future of transportation and the European context","Brussels, Belgium",,"Mobility and Transport","Henrik Hololei (Director-General)",
2017-05-17,"Energy developments","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)",
