Date,Subject,Location,Cabinet,"DG name/Portfolio","Attending from Commission","Other lobbyists"
2015-02-12,"Energy Union","Bruxelles, Berlaymont","Cabinet of Vice-President Maroš Šefčovič","Energy Union","Dagmara Koska (Cabinet member),Juraj Nociar (Cabinet member)",
2015-02-18,"Overview of EU development priorities in West Africa and Nigeria in particular; West Africa-EU Economic Partnership Agreement; EU blending facilities; Instability in the Niger Delta region; possibilities of collaboration between Shell and EU.","Belgium, Brussels",,"Directorate-General for International Partnerships","Fernando Frutuoso De Melo (Director-General)",
2015-03-17,"Energy Union; Päris /COP21; ETS review post 2020","Brussels, Belgium","Cabinet of Vice-President Miguel Arias Cañete","Climate Action & Energy","Miguel Arias Cañete (Commissioner),Yvon Slingenberg (Cabinet member)","Raytheon Technologies,Koninklijke Philips,Stichting European Climate Foundation,ACCIONA, S.A.,European Federation of Clean Air and Environmental Protection Associations,3M,Koninklijke Philips,ACCIONA, S.A.,Raytheon Technologies,European Federation of Clean Air and Environmental Protection Associations,Stichting European Climate Foundation,3M"
2015-04-23,"Meeting to present Shell’s positions on specific climate and energy related issues","Brussels, Belgium","Cabinet of Vice-President Miguel Arias Cañete","Climate Action & Energy","Yvon Slingenberg (Cabinet member)",
2015-05-12,"•	current status & plans of Corrib project (due to start production in the coming months) as well as the wider economic benefits and discuss the project both in the Irish context and also in the wider context of the Energy Union; security of supply and the role of gas in reaching the EU’s decarbonisation objectives, other views on biofuels or other relevant topics from a Shell perspective","BERL - CAB HOGAN","Cabinet of Commissioner Phil Hogan","Agriculture & Rural Development","Dermot Ryan (Cabinet member)",
2015-06-03,"Energy Union","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)",
2015-06-23,"Meeting with Shell","Brussels, Belgium","Cabinet of Commissioner Violeta Bulc",Transport,"Friedrich-Nikolaus von Peter (Cabinet member)",
2015-07-14,"Energy Union","BERL, Brussels","Cabinet of Vice-President Maroš Šefčovič","Energy Union","Juraj Nociar (Cabinet member)",
2015-08-21,"ETS review propsal and gas/LNG market","Brussels, Belgium","Cabinet of Vice-President Miguel Arias Cañete","Climate Action & Energy","Miguel Arias Cañete (Commissioner),Yvon Slingenberg (Cabinet member)",
2015-09-04,"gas and oil","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)","RWE AG,E.ON SE,Equinor ASA,Repsol, S.A.,BP p.l.c.,Enagás S.A.,TotalEnergies SE,ENGIE"
