Date,Subject,Location,Cabinet,"DG name/Portfolio","Attending from Commission","Other lobbyists"
2015-04-09,"Decabornisation of Road Transport","Brussels, Belgium","Cabinet of Vice-President Miguel Arias Cañete","Climate Action & Energy","Miguel Arias Cañete (Commissioner),Silvia Bartolini (Cabinet member)","Jaguar Land Rover Limited,Jaguar Land Rover Limited,RENAULT,RENAULT,Scania AB (publ),Scania AB (publ),Bayerische Motoren Werke Aktiengesellschaft,Bayerische Motoren Werke Aktiengesellschaft,DAF Trucks N.V.,DAF Trucks N.V.,Hyundai Motor Company Brussels Office,Hyundai Motor Company Brussels Office,Volvo AB,Volvo AB,Association des Constructeurs Européens d'Automobiles,Association des Constructeurs Européens d'Automobiles"
2015-04-21,Decarbonization,Brussels,"Cabinet of Vice-President Miguel Arias Cañete","Climate Action & Energy","Silvia Bartolini (Cabinet member)",
2015-04-21,"Energy Union and Transport","Brussels, Belgium","Cabinet of President Jean-Claude Juncker",President,"Telmo Baltazar (Cabinet member)",
2015-04-27,"standards, data, transport",Brussels,"Cabinet of Vice-President Andrus Ansip","Digital Single Market","Maximilian Strotmann (Cabinet member)",
2015-04-30,"Visit to Audi Brussels in frames of European Semester meetings with Belgian Authorities and Social Partners","Brussels, Belgium","Cabinet of Vice-President Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union","Raquel Lucas (Cabinet member),Valdis Dombrovskis (Vice-President)",
2015-05-11,DSM,Brussels,,"Günther Oettinger","Eric Mamer (Cabinet member)","Fédération du e-commerce et de la vente à distance"
2015-05-27,"sustainable development",Berlaymont,"Cabinet of First Vice-President Frans Timmermans","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights","Sarah Nelen (Cabinet member)",
2015-06-09,"Automatiertes Fahren + Industrie 4.0",Berlin,,"Günther Oettinger","Günther Oettinger (Commissioner)",
2015-07-02,"DSM, digitalisation in the car sector",Brussels,,"Günther Oettinger","Günther Oettinger (Commissioner)",
2015-09-09,"Transport policy",Brussels,"Cabinet of Vice-President Jyrki Katainen","Jobs, Growth, Investment and Competitiveness","Heidi Jern (Cabinet member)",
2015-09-25,"Meeting on current issues / Volkswagen affaire","Office of Mr Tomasz Husak","Cabinet of Commissioner Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs","Rolf Carsten Bermig (Cabinet member),Tomasz Husak (Cabinet member)",
