Date,Subject,Location,Cabinet,"DG name/Portfolio","Attending from Commission","Other lobbyists"
2016-11-28,"digital agenda and energy union",Brussels,,"Günther Oettinger","Günther Oettinger (Commissioner)",
2017-03-23,"CAN GAS SPUR THE ENERGY TRANSITION IN CENTRAL AND EASTERN EUROPE?",Bratislava,"Cabinet of Vice-President Miguel Arias Cañete","Climate Action & Energy","Joachim Balke (Cabinet member),Miguel Arias Cañete (Commissioner)","Fachverband der Gas- und Wärmeversorgungsunternehmungen,MVM Hungarian Electricity Ltd.,Joint Stock Company ""Latvijas Gaze"",eustream, a.s.,EUROGAS aisbl,European Network of Transmission System Operators for Gas,MVM Hungarian Electricity Ltd.,FIPRA International SRL,Fachverband der Gas- und Wärmeversorgungsunternehmungen,EUROGAS aisbl,European Network of Transmission System Operators for Gas,Eni S.p.A.,FIPRA International SRL,GLOBSEC,Eni S.p.A.,Bloomberg L.P.,Joint Stock Company ""Latvijas Gaze"",GLOBSEC,eustream, a.s.,Bloomberg L.P."
2021-10-21,"Europe´s hydrogen economy",Brussels,"Cabinet of Executive Vice-President Frans Timmermans","European Green Deal","Aleksandra Tomczak (Cabinet member),Sarah Nelen (Cabinet member)",
2022-10-21,"Exchange on the new Commission proposal measures to fight high energy prices and ensure security of supply. Additionally, Innogy Česká republika and Bulgargaz participated.",videoconference,,Energy,"Ditte Juul Jørgensen (Director-General)","Eni S.p.A.,Polskie Gornictwo Naftowe i Gazownictwo SA  -  Polish Oil and Gas Company,Shell Companies,NATURGY ENERGY GROUP,ENGIE,DEPA INFRASTRUCTURE S.A.,Ørsted A/S,Galp Energia, SGPS, SA,OMV Aktiengesellschaft"
2022-10-21,"Commission proposal on measures on energy prices and  security of supply. Innogy Česká republika and Bulgargaz also participated.",videoconference,,Energy,"Ditte Juul Jørgensen (Director-General)","ENGIE,Eni S.p.A.,Polskie Gornictwo Naftowe i Gazownictwo SA  -  Polish Oil and Gas Company,Ørsted A/S,Galp Energia, SGPS, SA,Shell Companies,DEPA INFRASTRUCTURE S.A.,OMV Aktiengesellschaft,NATURGY ENERGY GROUP"
2022-10-26,"Joint purchasing options.",Brussels,"Cabinet of Commissioner Kadri Simson",Energy,"Helena Hinto (Cabinet member),Kadri Simson (Commissioner),Stefano Grassi (Cabinet member),Tatiana Marquez Uriarte (Cabinet member)","NATURGY ENERGY GROUP,ENEL SpA,RHI MAGNESITA,BP p.l.c.,E.ON SE,OMV Petrom SA,Edison Spa,MVM CEEnergy Zrt.,Energias de Portugal,Vitol Holding BV,Public Power Corporation S.A.,ENGIE,RHI MAGNESITA,European Chemical Industry Council,BP p.l.c.,European Network of Transmission System Operators for Gas,Eni S.p.A.,Hydrogen Europe,ENGIE,Repsol, S.A.,Grupa Azoty Spółka Akcyjna,European Federation of Energy Traders,EUROGAS aisbl,Gas Infrastructure Europe,European Federation of Energy Traders,European Chemical Industry Council,Vitol Holding BV,E.ON SE,OMV Petrom SA,ENERGIA NATURALIS d.o.o. za ulaganje i upravljanje,Repsol, S.A.,Galp Energia, SGPS, SA,Ocelářská unie,MVM CEEnergy Zrt.,European Energy Exchange AG,ENERGIA NATURALIS d.o.o. za ulaganje i upravljanje,RWE AG,Associazione fra le società italiane per azioni,TotalEnergies Electricité et Gaz France,OMV Aktiengesellschaft,MIBGAS, S.A.,TotalEnergies Electricité et Gaz France,Galp Energia, SGPS, SA,OMV Petrom SA,EUROGAS aisbl,Gas Infrastructure Europe,Shell Companies,Public Power Corporation S.A.,RWE AG,Edison Spa,BP p.l.c.,ENEL SpA,Naftogaz of Ukraine,Public Power Corporation S.A.,Energias de Portugal,Shell Companies,Energias de Portugal,RHI MAGNESITA,Grupa Azoty Spółka Akcyjna,Gas Infrastructure Europe,OMV Aktiengesellschaft,Ocelářská unie,Naftogaz of Ukraine,NATURGY ENERGY GROUP,E.ON SE,Eni S.p.A.,European Federation of Energy Traders,ENGIE,Vitol Holding BV,European Network of Transmission System Operators for Gas,Shell Companies,Hydrogen Europe,NATURGY ENERGY GROUP,E.ON SE,Repsol, S.A.,MIBGAS, S.A.,Associazione fra le società italiane per azioni,Ocelářská unie,BP p.l.c.,European Network of Transmission System Operators for Gas,NATURGY ENERGY GROUP,EUROGAS aisbl,MVM CEEnergy Zrt.,TotalEnergies Electricité et Gaz France,ENERGIA NATURALIS d.o.o. za ulaganje i upravljanje,OMV Petrom SA,European Chemical Industry Council,European Federation of Energy Traders,European Chemical Industry Council,European Energy Exchange AG,Hydrogen Europe,EUROGAS aisbl,RWE AG,Associazione fra le società italiane per azioni,RHI MAGNESITA,Edison Spa,ENEL SpA,Hydrogen Europe,OMV Aktiengesellschaft,Grupa Azoty Spółka Akcyjna,Public Power Corporation S.A.,Gas Infrastructure Europe,Galp Energia, SGPS, SA,ENGIE,TotalEnergies Electricité et Gaz France,Galp Energia, SGPS, SA,Naftogaz of Ukraine,European Energy Exchange AG,OMV Aktiengesellschaft,Edison Spa,Repsol, S.A.,Eni S.p.A.,Ocelářská unie,MIBGAS, S.A.,European Energy Exchange AG,Energias de Portugal,Vitol Holding BV,Associazione fra le società italiane per azioni,Shell Companies,MVM CEEnergy Zrt.,ENERGIA NATURALIS d.o.o. za ulaganje i upravljanje,Grupa Azoty Spółka Akcyjna,ENEL SpA,MIBGAS, S.A.,European Network of Transmission System Operators for Gas,Naftogaz of Ukraine,Eni S.p.A.,RWE AG"
2023-01-19,"European large-scale projects on both LNG and H2/ammonia",Brussels,"Cabinet of President Ursula von der Leyen",President,"Kurt Vandenberghe (Cabinet member)",
2023-01-19,"European large-scale projects on both LNG and H12/Ammonia",Brussels,,"Climate Action","Kurt Vandenberghe (Director-General)",
2023-05-04,"Importance of hydropower in ensuring electricity system flexibility; 
The application of the electricity market reform to hydropower;
How to strengthen the visibility of hydropower as one of the key sources of renewable energy.",Brussels,"Cabinet of Commissioner Kadri Simson",Energy,"Barbara GLOWACKA (Cabinet member),Kadri Simson (Commissioner)","ENGIE,IBERDROLA,Vattenfall,ENEL SpA,Energias de Portugal,IBERDROLA,Fortum Oyj,ELECTRICITE DE FRANCE,Vattenfall,Statkraft AS,Energias de Portugal,VERBUND AG,Fortum Oyj,ELECTRICITE DE FRANCE,ENGIE,Statkraft AS,ENEL SpA,VERBUND AG"
2023-05-04,"Presentation of new business group",Brussels,"Cabinet of Executive Vice-President Frans Timmermans","European Green Deal","Riccardo Maggi (Cabinet member)","IBERDROLA,Fortum Oyj,Statkraft AS,ELECTRICITE DE FRANCE,ENEL SpA,ENGIE,VERBUND AG,Vattenfall,Energias de Portugal"
