Date,Subject,Location,Cabinet,"DG name/Portfolio","Attending from Commission","Other lobbyists"
2015-02-10,"European Energy Policy priorities","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)",
2015-09-04,"gas and oil","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)","RWE AG,Shell Companies,E.ON SE,ENGIE,Repsol, S.A.,Enagás S.A.,Equinor ASA,BP p.l.c."
2015-09-04,"Security of supply and Energy diversification","Brussels, Belgium","Cabinet of Vice-President Miguel Arias Cañete","Climate Action & Energy","Isaac Valero Ladron (Cabinet member),Joachim Balke (Cabinet member),Maria Cristina Lobillo Borrero (Cabinet member),Miguel Arias Cañete (Commissioner)","E.ON SE,ENGIE,BP p.l.c.,Enagás S.A.,Shell Companies,Equinor ASA,RWE AG,BP p.l.c.,ENGIE,Equinor ASA,E.ON SE,BP p.l.c.,Shell Companies,ENGIE,Enagás S.A.,Equinor ASA,E.ON SE,RWE AG,Enagás S.A.,Shell Companies,ENGIE,Shell Companies,BP p.l.c.,RWE AG,E.ON SE,RWE AG,Equinor ASA,Enagás S.A."
2015-10-29,"energy sector in China",Brussels,"Cabinet of Vice-President Cecilia Malmström",Trade,"Miguel Ceballos Baron (Cabinet member)",
2015-10-30,"creation of a network of Energy Union Business Ambassadors",Brussels,"Cabinet of Vice-President Maroš Šefčovič","Energy Union","Maroš Šefčovič (Vice-President),Peter van Kemseke (Cabinet member)","Ingka Services A.B.,Unilever,Eni S.p.A.,EUROSIF A.I.S.B.L (EUROPEAN SUSTAINABLE INVESTMENT FORUM),BASF SE,BASF SE,Ingka Services A.B.,Institutional Investors Group on Climate Change,Institutional Investors Group on Climate Change,Eni S.p.A.,Anheuser-Busch InBev nv/sa,Anheuser-Busch InBev nv/sa,E.ON SE,E.ON SE,Unilever,EUROSIF A.I.S.B.L (EUROPEAN SUSTAINABLE INVESTMENT FORUM)"
2016-02-17,"The implementation of EU legislation currently in development",Brussels,,"Financial Stability, Financial Services and Capital Markets Union","Olivier Guersent (Director-General)","BP p.l.c.,Shell Companies"
2016-05-17,"energy & climate policy","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)","Eni S.p.A."
2016-05-24,"Business Forum EU-ALGERIA",Algiers,"Cabinet of Vice-President Miguel Arias Cañete","Climate Action & Energy","Miguel Arias Cañete (Commissioner)","Cepsa S.A,Repsol, S.A.,EPIA SolarPower Europe,Eni S.p.A.,Equinor ASA,ENGIE,WindEurope,Enel Green Power S.p.A.,Enagás S.A."
2016-07-07,"Lunch Debat Grandes Entreprises Françaises - Better Regulation.",Brussels,"Cabinet of First Vice-President Frans Timmermans","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights","Antoine Colombani (Cabinet member),Bernardus Smulders (Cabinet member)","Manufacture Française des Pneumatiques Michelin,LA POSTE,RENAULT,Manufacture Française des Pneumatiques Michelin,Airbus,Peugeot S.A.,LA POSTE,Peugeot S.A.,Airbus,Veolia Environnement,Orange,Orange,Fédération bancaire française,Veolia Environnement,Danone,Fédération bancaire française,Mouvement des Entreprises de France,Danone,AXA,AXA,Mouvement des Entreprises de France,BOUYGUES EUROPE,BOUYGUES EUROPE,NEW AREVA HOLDING SA,NEW AREVA HOLDING SA,L'Oréal,RENAULT,L'Oréal"
2016-09-19,"Implementation of Energy union",Brussels,"Cabinet of Vice-President Miguel Arias Cañete","Climate Action & Energy","Pierre Schellekens (Cabinet member)",
